>>>> graph <<<<
Testing 35/graph-test/2.L2f .................. passed
Testing 35/graph-test/17.L2f ................. passed
Testing 35/graph-test/16.L2f ................. passed
Testing 35/graph-test/15.L2f ................. passed
Testing 35/graph-test/14.L2f ................. passed
Testing 35/graph-test/13.L2f ................. passed
Testing 35/graph-test/12.L2f ................. passed
Testing 35/graph-test/11.L2f ................. passed
Testing 35/graph-test/10.L2f ................. passed
Testing 35/graph-test/1.L2f .................. passed
Testing 22/graph-test/15.L2f ................. passed
Testing 22/graph-test/14.L2f ................. passed
Testing 22/graph-test/13.L2f ................. passed
Testing 22/graph-test/12.L2f ................. passed
Testing 22/graph-test/11.L2f ................. passed
Testing 22/graph-test/10.L2f ................. passed
Testing 22/graph-test/09.L2f ................. passed
Testing 22/graph-test/08.L2f ................. passed
Testing 22/graph-test/07.L2f ................. passed
Testing 22/graph-test/06.L2f ................. passed
Testing 22/graph-test/05.L2f ................. passed
Testing 22/graph-test/04.L2f ................. passed
Testing 22/graph-test/03.L2f ................. passed
Testing 22/graph-test/02.L2f ................. passed
Testing 22/graph-test/01.L2f ................. passed
>>>> Summaries <<<<
graph: 168 of 168 (100%)
